fips,county_name,State,total_pop_18plus,prop_white,prop_foreign_born,median_age,median_income,median_rent,prop_less_than_hs,prop_bachelor_above,prop_unemployed,prop_nilf,prop_health_insurance,prop_low_ratio_ip
16085,Valley County,  ID,8890,0.98758054,0.00776153,50.6,64475,773,0.05399061,0.303755869,0.009027854,0.471980623,0.885824548,0.082097649
16087, WA County,  ID,7712,0.878393159,0.078189834,45.4,40992,683,0.149698076,0.163460188,0.022474747,0.459090909,0.849713884,0.197193501
17001,Adams County,   IL,51164,0.929197246,0.016007349,41.5,52993,713,0.074818428,0.249539295,0.028478438,0.353189396,0.952593918,0.122515052
17003,Alexander County,   IL,4803,0.631629393,0.003331251,45.3,36806,526,0.134534134,0.128974872,0.032531825,0.542735906,0.92331338,0.243183493
17005,Bond County,   IL,13428,0.908855266,0.024798928,41.6,57289,609,0.107827272,0.228515459,0.017037251,0.444267976,0.942659803,0.132360097
17007,Boone County,   IL,40023,0.875133086,0.135072333,38.5,69272,854,0.137939899,0.234574954,0.04057576,0.341701934,0.940013928,0.110735358
17009,Brown County,   IL,5486,0.794357272,0.032628509,38.9,61655,615,0.169854,0.140653917,0.016767749,0.551016768,0.936671576,0.139784946
17011,Bureau County,   IL,26025,0.934031761,0.045917387,44.4,57436,680,0.091807311,0.206046985,0.031039738,0.377866994,0.953564341,0.121499354
17013,Calhoun County,   IL,3821,0.977018634,0.009683329,46.8,63009,617,0.084240688,0.142406877,0.015965535,0.478205778,0.986315789,0.121317158
17015,Carroll County,   IL,11661,0.959698604,0.024097419,48.3,52410,631,0.088342868,0.195254619,0.032876025,0.417266187,0.939218728,0.112105394
17017,Cass County,   IL,9450,0.885135676,0.125608466,40,52373,598,0.159708338,0.151005527,0.042000609,0.350410876,0.945379511,0.145083933
17019,Champaign County,   IL,170337,0.718457332,0.140040038,30.1,52797,882,0.050006559,0.450239415,0.029694588,0.379365379,0.960300795,0.137900083
17021,Christian County,   IL,26185,0.964865932,0.012984533,43.4,52834,674,0.103020063,0.170897571,0.018501284,0.433793694,0.956584336,0.119230769
17023,Clark County,   IL,12093,0.968439807,0.014636567,42.3,56531,687,0.071839868,0.198519331,0.035576923,0.357692308,0.953434376,0.158506224
17025,Clay County,   IL,10270,0.961992925,0.005842259,42.6,48500,604,0.120261298,0.149710859,0.029983028,0.401470866,0.936199405,0.167365113
17027,Clinton County,   IL,29662,0.936573311,0.01904794,40.6,66639,808,0.099139222,0.222979042,0.016155352,0.373041775,0.962318351,0.083272462
17029,Coles County,   IL,42098,0.929293323,0.025369376,35.7,46202,697,0.086344468,0.259549164,0.034727374,0.385548034,0.93866593,0.18140155
17031,Cook County,   IL,4053168,0.566786867,0.260763926,36.8,64660,1123,0.128744311,0.388149268,0.046163686,0.339426161,0.912036388,0.155577078
17033,Crawford County,   IL,15209,0.902329749,0.019790913,41.8,49779,638,0.149970964,0.170659117,0.027512957,0.483332267,0.938771835,0.132488943
17035,Cumberland County,   IL,8355,0.973052787,0.009814482,42.5,56206,582,0.094024951,0.154300722,0.01941409,0.353289933,0.946970404,0.131998643
17037,DeKalb County,   IL,81843,0.839823314,0.079444791,31.1,63317,930,0.076991986,0.323408691,0.042900532,0.321540433,0.947276516,0.125237437
17039,De Witt County,   IL,12489,0.960645242,0.017855713,43.6,55587,629,0.08479044,0.213074422,0.030724101,0.355488652,0.9584638,0.121749137
