Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Wood County,WI,42455,74.2,57247
Van Zandt County,TX,20462,46.9,43587
Livingston County,MO,6444,53.6,12025
Rolette County,ND,8689,92.4,9401
Mecklenburg County,NC,686747,80.6,852079
Red Lake County,MN,2123,69,3077
Paulding County,OH,7653,53.5,14294
Monterey County,CA,278140,86.6,321346
Henry County,IL,26917,70.6,38104
Dallas County,TX,1442816,73.8,1955160
Athens County,OH,30877,55.2,55914
Wabash County,IN,12679,51.5,24603
Campbell County,KY,56625,76.4,74142
Carolina Municipio,PR,106252,87.1,121991
Calhoun County,SC,5718,48.3,11827
Fayette County,IL,7533,44.6,16898
Franklin County,NY,32384,80.1,40427
Clay County,TN,2249,36.9,6093
Caroline County,MD,17903,70.1,25531
Asotin County,WA,9391,52,18058
Guayanilla Municipio,PR,12541,88.2,14217
Grays Harbor County,WA,43712,73.1,59787
Barceloneta Municipio,PR,16042,83,19327
Monroe County,GA,11344,51.6,21985
Hemphill County,TX,1514,56.8,2666
Flathead County,MT,42463,52.3,81238
Chippewa County,WI,34406,68.1,50522
Conecuh County,AL,5158,53.8,9593
Santa Fe County,NM,117638,94.9,123964
Wayne County,OH,49852,56.8,87730
Webster County,WV,3727,57,6536
Camuy Municipio,PR,21128,83.8,25217
Hot Spring County,AR,13842,51.6,26808
Cabo Rojo Municipio,PR,30994,78.3,39559
Gilchrist County,FL,6594,44.3,14885
Cole County,MO,38474,64.4,59766
Douglas County,CO,226500,86.2,262787
Shelby County,KY,21264,55.9,38038
Franklin County,OH,764635,75.6,1011349
Pennington County,SD,64957,74,87805
Fremont County,WY,18998,64.9,29260
Pope County,IL,1565,42.6,3677
Bailey County,TX,2518,52,4846
Anoka County,MN,188586,69.3,272162
Scott County,TN,7936,47.4,16747
Island County,WA,61502,88.2,69766
Valley County,MT,3392,59.2,5726
Lewis County,WA,39561,62.3,63499
Jefferson County,OH,31861,60.3,52808
Douglas County,IL,8923,60.9,14660
Essex County,MA,533854,85.8,622395
Stafford County,KS,1868,58.6,3188
Fayette County,PA,73049,69.9,104556
Lincoln County,NC,42478,62.5,67981
Montgomery County,NC,11827,55.6,21266
Rains County,TX,4451,44.6,9989
Barron County,WI,23185,65.2,35535
Todd County,MN,10098,53.8,18766
Mississippi County,AR,16091,53.6,30043
Clarke County,MS,8600,70.9,12133
Lyon County,MN,13389,70.8,18920
Newton County,GA,44025,53.1,82882
Delaware County,OK,17997,52.3,34428
Fayette County,TN,22461,67,33523
Kenton County,KY,94618,74.2,127578
Clay County,MS,8666,57.8,14994
Caguas Municipio,PR,91227,89,102504
Juana Diaz Municipio,PR,29675,83.1,35693
Monroe County,TN,19874,54,36799
Grayson County,KY,12853,63.3,20298
Kendall County,IL,76223,82.2,92730
Sarasota County,FL,298368,80,372818
Robertson County,TX,7118,54.4,13074
Madison County,AR,6936,54.5,12727
Broadwater County,MT,2089,41.7,5013
Maries County,MO,3708,53.4,6943
Jackson County,GA,29624,54.4,54499
Vigo County,IN,51942,60.9,85233
Tippah County,MS,9031,54,16711
Columbiana County,OH,48879,60.1,81291
Burlington County,NJ,306488,86.8,353190
Boundary County,ID,4209,44.6,9429
Lemhi County,ID,3741,57.3,6530
Chickasaw County,IA,6271,68.6,9143
Spencer County,IN,8794,55.3,15890
Calloway County,KY,17252,53.9,32013
Allen County,OH,43617,55.3,78859
Jefferson County,ID,11619,58.6,19816
Codington County,SD,15237,71.3,21364
Childress County,TX,3296,55.7,5918
Pend Oreille County,WA,5519,49.7,11096
Payette County,ID,7623,42.9,17756
Harrison County,MS,110034,69.4,158574
Calhoun County,MS,6269,56.8,11030
Lincoln County,WA,6022,70.3,8561
Avoyelles Parish,LA,18358,59.7,30733
Fallon County,MT,931,45,2068
Frederick County,MD,181095,90.7,199557
Caswell County,NC,11207,61,18383
East Carroll Parish,LA,3005,57.5,5223
Beaverhead County,MT,4879,62.5,7812
Ashland County,OH,22545,54.2,41579
Yavapai County,AZ,116091,58.7,197624
Orange County,VT,14217,60.1,23656
Snyder County,PA,17053,53.3,32022
Lake County,MN,6540,76,8606
Meade County,SD,14921,67.8,21993
Bedford County,VA,34354,54.1,63465
Sevier County,UT,8841,57.5,15365
Kane County,UT,3915,65,6021
Jones County,IA,11403,69.8,16328
La Salle Parish,LA,6769,58.8,11516
Schuyler County,NY,10630,73.3,14503
Ohio County,KY,9125,50.2,18161
DeKalb County,GA,397381,67.9,584968
Callaway County,MO,20635,58.3,35410
Piute County,UT,569,50.7,1123
Osage County,MO,5146,48.9,10513
Searcy County,AR,3037,47.9,6342
Potter County,TX,51422,60.2,85401
Franklin County,PA,74154,61.4,120801
Comanche County,OK,73128,79.2,92323
Limestone County,AL,37192,48.4,76842
Henry County,TN,15136,58.8,25757
Kearny County,KS,1947,71.2,2734
Sauk County,WI,37741,75.7,49825
Titus County,TX,11962,51.2,23357
Taylor County,WI,6864,44,15593
Crane County,TX,1602,47,3410
Montgomery County,MD,816303,95,808321
Fluvanna County,VA,15733,72,21864
Clallam County,WA,50686,78.7,64386
Des Moines County,IA,19372,64.2,30179
Union County,NM,1763,53.4,3299
Jessamine County,KY,26983,65.4,41273
Montgomery County,OH,280920,67.7,414980
Rockdale County,GA,43116,62.6,68889
Foster County,ND,1667,66.2,2519
Morris County,TX,5101,53.5,9531
Cloud County,KS,4076,60.4,6750
Leavenworth County,KS,45206,72.2,62600
Eddy County,NM,25721,59.9,42946
Marion County,AR,5983,43.8,13660
Cherokee County,SC,19069,43.2,44191
Alamance County,NC,99712,75.5,132145
Sagadahoc County,ME,26645,91.8,29040
Bedford County,PA,18622,48.1,38720
Bristol County,MA,352218,78.4,449241
Maverick County,TX,44345,95,40547
Foard County,TX,470,50.9,924
Franklin County,ME,18507,74.4,24862
Canadian County,OK,81511,74.3,109752
Mahnomen County,MN,3115,82.6,3769
Amelia County,VA,4344,41.7,10405
Henderson County,TN,11367,52.2,21774
Heard County,GA,3351,36.1,9284
Greene County,AR,18760,54.7,34308
Polk County,AR,7148,46.3,15424
Washita County,OK,4160,50.5,8243
Fentress County,TN,6272,42.6,14732
Rosebud County,MT,6511,95,6368
Manatee County,FL,240968,72.9,330760
Canyon County,ID,98777,59.6,165731
Tehama County,CA,26532,53.5,49621
Hansford County,TX,2180,57.4,3796
Bayfield County,WI,11941,95,12431
Washington County,TX,17070,60.5,28217
Lincoln County,MO,22110,50.2,44035
Wicomico County,MD,54538,67.4,80899
Franklin County,MS,3567,59.8,5965
Gallatin County,MT,64028,69.7,91888
Delta County,TX,1816,44.5,4080
O'Brien County,IA,6714,64.1,10467
Le Flore County,OK,19038,50.2,37923
Madison County,ID,20727,71,29212
Russell County,AL,22942,52.2,43974
Atlantic County,NJ,166661,80.1,208133
La Plata County,CO,36997,80.9,45749
Renville County,MN,7521,67.4,11162
Lee County,MS,35339,55.1,64130
Jennings County,IN,10927,51.3,21290
Benton County,TN,7071,54.6,12951
Harford County,MD,162764,81.9,198836
Houston County,GA,75595,64.3,117543
Santa Cruz County,AZ,43973,95,34123
Hamilton County,KS,1022,56.5,1809
Henry County,GA,97686,55.7,175285
Osborne County,KS,1418,52.8,2687
Okfuskee County,OK,5416,58.5,9255
Mercer County,WV,30874,66.3,46591
Pottawatomie County,OK,34763,62.5,55626
Bradford County,PA,25670,54.4,47184
St. Lucie County,FL,183109,69.3,264186
Clay County,MO,122140,64.2,190200
Van Buren County,TN,3360,71.2,4716
Simpson County,KY,9039,63.8,14162
Ector County,TX,65182,56.2,115893
Harnett County,NC,54779,54.2,100990
Johnson County,AR,12446,62,20060
Bledsoe County,TN,5486,42.6,12876
Juniata County,PA,9916,51.6,19221
St. Louis city,MO,170712,69.9,244269
Greenwood County,SC,32679,59.6,54832
Lawrence County,IN,21870,61.3,35692
Rockwall County,TX,55634,72.3,76974
Lorain County,OH,181888,75.1,242329
DeSoto County,FL,17275,56,30849
Beckham County,OK,8776,53.5,16396
Covington County,MS,10099,71.7,14079
Williamson County,TX,356683,80.8,441593
Buckingham County,VA,6442,45.6,14117
York County,PA,252875,72.2,350349
Gordon County,GA,20853,47.3,44119
Washington County,PA,126338,75.8,166709
Audubon County,IA,3071,70.9,4334
Marion County,KS,5627,60,9378
Greenup County,KY,17622,63.9,27596
Butler County,PA,113981,75.6,150850
Sawyer County,WI,9366,70,13383
Fond du Lac County,WI,54392,66.8,81450
Young County,TX,7091,51.6,13749
Upshur County,WV,11654,60.5,19274
Beaver County,UT,3024,66.7,4534
Coffee County,GA,15575,47.6,32708
Howard County,IA,4549,66.2,6875
Lubbock County,TX,141762,59.8,237044
Uinta County,WY,9882,68.3,14474
Armstrong County,PA,37784,72.1,52371
Kinney County,TX,1839,62,2964
Tipton County,IN,6718,55.7,12064
Renville County,ND,893,49.6,1802
Niagara County,NY,128654,76.8,167587
Douglas County,WA,24491,76,32246
Emery County,UT,4329,60.4,7168
Belknap County,NH,35590,71,50094
Pike County,IN,7031,72.5,9692
Miller County,AR,13837,41.7,33187
Wright County,MN,67849,67.8,100015
Pike County,AL,13296,49.6,26819
Winchester city,VA,11467,52.7,21768
Beaver County,PA,81997,61.9,132398
Buena Vista County,IA,12782,87.7,14570
Fergus County,MT,5071,57.7,8781
Gray County,TX,8474,51.8,16344
Cumberland County,ME,237351,95,240993
Vernon Parish,LA,26670,74.6,35749
Warrick County,IN,36577,75.8,48228
Atchison County,MO,2813,68.5,4106
Henry County,IN,24463,64,38234
Clark County,AR,10405,57.5,18082
Madison County,FL,8341,55.3,15088
Willacy County,TX,12802,78.3,16343
Kanabec County,MN,6571,51.2,12837
Teton County,WY,20234,95,19264
Woodford County,KY,16413,78.5,20902
Holt County,MO,1836,52.3,3513
Aleutians East Borough,AK,2306,74.8,3084
Spartanburg County,SC,133369,54.2,245973
Gilmer County,WV,4691,70,6703
Wibaux County,MT,275,35.6,773
Kershaw County,SC,36405,71.1,51197
Adams County,MS,16265,66.1,24590
Ransom County,ND,2993,73.9,4049
McDonald County,MO,7405,43.6,16986
Garfield County,CO,35036,77.7,45076
Churchill County,NV,12947,67.4,19211
Crawford County,WI,8863,68.7,12898
Brazos County,TX,109556,60.2,181925
Cowley County,KS,16187,60.5,26742
Horry County,SC,195775,67.1,291882
Clermont County,OH,108603,68.1,159541
Carver County,MN,60350,78,77387
Allen County,KS,5569,57.8,9628
Nome Census Area,AK,5630,86,6544
Aroostook County,ME,43542,79.4,54809
Sully County,SD,616,56.3,1094
Dakota County,NE,12341,87,14192
Henry County,AL,7651,55.9,13697
Aransas County,TX,12898,66.7,19341
Wilkes County,NC,32648,59.8,54628
Griggs County,ND,1008,57.2,1761
Stearns County,MN,87720,70.9,123713
Washington County,OK,21953,55.9,39275
Franklin city,VA,2936,49.8,5897
Caddo County,OK,17457,80.8,21606
Hartford County,CT,616478,87.4,705457
Waukesha County,WI,257609,81,318146
San Juan Municipio,PR,241519,91.1,264985
Charlotte County,FL,123951,74.4,166579
Kingman County,KS,3294,59.2,5564
Lee County,TX,7653,56.7,13492
Jackson County,WI,9611,59.5,16147
Jim Hogg County,TX,2538,70.3,3611
St. Charles Parish,LA,27672,68.7,40257
Nemaha County,KS,5203,69.7,7468
Orange County,NC,116362,95,119925
Dallas County,AR,3720,67.2,5538
Adjuntas Municipio,PR,11455,81.4,14072
Pickaway County,OH,28243,61.3,46036
Washington County,RI,93146,88.5,105286
Tooele County,UT,36441,74.3,49027
Ouachita County,AR,11954,65.8,18168
Alexander County,NC,17421,58,30040
Acadia Parish,LA,31489,68.4,46040
Siskiyou County,CA,22852,65.7,34803
Vermillion County,IN,7129,59,12088
Franklin County,VT,16456,42.7,38568
Mifflin County,PA,22699,63.2,35902
Hampshire County,WV,10714,56.4,18980
Clarke County,GA,56455,53.1,106329
Menominee County,WI,2953,95,3041
Wilkinson County,MS,5273,77.1,6836
Leslie County,KY,5007,64.5,7764
Menard County,TX,1052,60,1752
Washburn County,WI,9647,75.6,12758
Meeker County,MN,10472,59.4,17619
Sargent County,ND,2241,73.3,3056
Spokane County,WA,301689,74,407945
Tate County,MS,12039,55,21909
Lanier County,GA,2694,34,7929
Burnet County,TX,24749,65.1,38011
Martin County,NC,11668,65.1,17917
Wolfe County,KY,3616,65.7,5505
Perry County,AL,4126,58.5,7056
Union County,NJ,360004,84.4,426483
Craig County,VA,1651,39,4232
Warren County,NY,46081,88,52361
Knott County,KY,6687,56.3,11867
Yellowstone County,MT,78549,63.5,123722
Perry County,OH,14281,51.6,27651
Martin County,KY,5888,65.3,9018
Ocean County,NJ,323523,70.3,460496
Lamoille County,VT,14559,71.9,20248
Clay County,KS,4601,75,6132
Kleberg County,TX,16808,72,23341
Lake County,SD,6305,61.7,10220
Box Elder County,UT,26003,67.4,38584
Jefferson County,KS,9793,66.5,14723
Sterling County,TX,459,49.7,923
Trujillo Alto Municipio,PR,39427,75.5,52190
Sanpete County,UT,11485,49.6,23148
Allendale County,SC,4903,69.7,7033
Idaho County,ID,5020,37.3,13446
Randolph County,AR,7363,53.8,13691
Shackelford County,TX,1169,46.4,2519
Kingsbury County,SD,3335,88.3,3778
Traill County,ND,4124,66.5,6205
Seward County,KS,9540,65.4,14596
Kandiyohi County,MN,22057,67.8,32536
Tippecanoe County,IN,106234,68.4,155406
Erie County,PA,153044,71.9,212712
Lucas County,IA,3810,57.4,6640
Plymouth County,IA,12513,66.3,18868
Warren County,NC,11085,68.4,16200
Russell County,VA,12033,55.7,21612
St. Joseph County,IN,149784,71.9,208208
Madison County,GA,12340,53.5,23048
Charles City County,VA,5216,87.8,5939
Northwest Arctic Borough,AK,3791,78,4862
Schleicher County,TX,1068,50.2,2126
Smyth County,VA,14015,57.6,24352
Giles County,VA,7294,54.8,13311
Ouray County,CO,3132,74.6,4196
Reeves County,TX,6671,53.8,12395
Gentry County,MO,2792,56.7,4924
Logan County,IL,14540,62.9,23117
Prairie County,AR,3502,54.6,6412
Clarke County,IA,4802,68.7,6991
Juneau City and Borough,AK,21957,87,25225
Van Wert County,OH,11959,55.1,21715
El Paso County,TX,585908,95,614819
Summit County,CO,24777,95,25982
Panola County,MS,15473,60,25773
Hand County,SD,1516,60.6,2501
Vernon County,MO,7060,44.9,15714
Leake County,MS,10423,61.4,16984
Morrow County,OR,6011,71.4,8421
Red River Parish,LA,2978,46,6469
Iberia Parish,LA,30908,59.5,51945
Vernon County,WI,15529,68.1,22811
Bennington County,VT,14103,48.9,28862
Prentiss County,MS,10549,54.1,19503
Patrick County,VA,6984,48,14558
Starr County,TX,41144,94.5,43537
Clarendon County,SC,15835,57.9,27368
Mayaguez Municipio,PR,51858,86.9,59649
Zapata County,TX,7346,77.4,9491
DuPage County,IL,624058,87.2,715343
Logan County,CO,8323,45.2,18395
Beaufort County,NC,26153,69.4,37669
Sanborn County,SD,1248,70.9,1759
Prince of Wales-Hyder Census Area,AK,2958,61.4,4821
Pulaski County,MO,29840,72.5,41168
Brewster County,TX,4862,64.6,7523
Lassen County,CA,11420,45.2,25291
Union County,IL,9091,69.2,13142
West Baton Rouge Parish,LA,13181,65.6,20094
Hale County,AL,8453,74.9,11279
Transylvania County,NC,20483,70.4,29099
Linn County,MO,5478,59.9,9140
Jackson County,MS,64543,58.4,110445
Montgomery County,NY,30933,81.5,37941
Rio Grande Municipio,PR,31128,78.6,39579
Choctaw County,OK,5162,46.4,11125
Chatham County,GA,154517,67.4,229084
Emmons County,ND,1107,42.4,2608
Chenango County,NY,27059,72.2,37490
Clatsop County,OR,25502,77.9,32730
Salem city,VA,11168,54.8,20372
Hancock County,IN,48439,80.8,59938
Esmeralda County,NV,352,46.9,750
Hancock County,KY,4869,74.2,6559
Hendry County,FL,19675,63.9,30800
St. John the Baptist Parish,LA,23761,73.4,32355
Carbon County,WY,6734,58.9,11438
Curry County,OR,12767,64.9,19678
Summers County,WV,7538,71.5,10547
Columbia County,WA,1785,54.6,3269
Watauga County,NC,30619,62.5,49022
Marion County,IL,16554,57.9,28576
Green County,KY,4614,53.1,8693
Cook County,GA,6803,52.5,12946
Lafayette County,MS,27851,63.3,44011
Piatt County,IL,9262,72.7,12738
Oconee County,SC,34950,54.8,63765
Montgomery County,MO,5471,60.7,9020
Sumner County,KS,9633,55.7,17283
Franklin County,IA,5140,66.5,7726
Tunica County,MS,4478,65.5,6833
Hardin County,IA,8973,66.2,13558
Colbert County,AL,25635,58.7,43686
Polk County,MO,12001,48.3,24857
Polk County,IA,297871,80.7,369162
McDowell County,NC,24372,66.6,36617
Holmes County,MS,9180,72,12752
Mercer County,ND,3169,50.4,6289
Shelby County,AL,73828,44.2,167202
Harrison County,KY,9056,62,14608
Bear Lake County,ID,2776,62,4478
Glynn County,GA,42317,63.1,67065
Walker County,AL,29399,59.5,49388
Ballard County,KY,2975,47.7,6239
Pueblo County,CO,90032,68.7,131010
Cavalier County,ND,2167,74.5,2910
Dallam County,TX,3046,61.4,4962
Phillips County,AR,8334,63.1,13206
Galax city,VA,2297,47.4,4851
Jefferson County,KY,455056,76.1,598182
Northumberland County,VA,6429,62.2,10340
Caldwell County,TX,22253,66.4,33513
Klickitat County,WA,10195,56.2,18140
Las Animas County,CO,8553,71.8,11904
Clearwater County,MN,3541,53.3,6639
Arlington County,VA,163617,84.4,193888
Bingham County,ID,21220,65.1,32589
Fannin County,GA,11062,50.4,21950
Greenlee County,AZ,3921,56.6,6929
Hamlin County,SD,2750,66.2,4155
Keya Paha County,NE,235,35.7,659
Wells County,IN,11501,53.9,21337
Simpson County,MS,11475,56.1,20459
Johnson County,WY,3504,52.9,6618
Jackson County,TX,6163,56,11014
Riverside County,CA,1335614,71.9,1856392
Deaf Smith County,TX,7331,57.2,12826
Edmunds County,SD,1730,58.7,2946
Winneshiek County,IA,11646,71.5,16285
Coconino County,AZ,103305,90,114726
Washington County,TN,73603,70.2,104876
Union County,IA,5978,62.8,9514
Red River County,TX,4828,49.9,9670
Baker County,OR,11066,85.6,12927
San Miguel County,CO,6252,92.4,6765
Ascension Parish,LA,59098,63.6,92983
Glenn County,CA,14348,68.9,20833
Dade County,GA,7347,56.4,13028
Pointe Coupee Parish,LA,11399,66.7,17084
Campbell County,WY,14015,41.5,33768
Linn County,IA,136334,78.1,174467
Bourbon County,KY,10719,69.9,15331
Grant County,OK,1802,54.7,3295
Butler County,AL,7408,48.8,15174
Fulton County,AR,4234,43,9843
Dawson County,TX,4184,44.2,9457
Richmond County,VA,3670,48.9,7498
Howard County,MD,240254,95,246802
Morgan County,GA,8469,56.7,14938
Cumberland County,NC,198641,78.6,252655
Edgefield County,SC,16009,71.4,22419
Sweetwater County,WY,20341,64.8,31375
Blair County,PA,62907,64.7,97209
Hampshire County,MA,101376,73.7,137637
Adair County,OK,7780,48,16199
Lee County,FL,465016,73,637068
Fulton County,IN,7891,51.6,15299
St. Louis County,MO,588247,75.8,776354
Roger Mills County,OK,1262,46.6,2710
Bonneville County,ID,57890,69.8,82945
Doddridge County,WV,4884,67.9,7197
Henry County,KY,8238,66.5,12384
Buffalo County,WI,6146,59.3,10366
Henderson County,TX,31169,47.9,65135
Wayne County,UT,1421,68.9,2063
Fulton County,IL,18562,67.1,27663
Jefferson County,WI,44920,66.9,67128
Lake County,TN,2450,40.8,6010
Henry County,VA,19167,46.9,40871
Jones County,TX,8502,51.2,16601
Starke County,IN,8435,47.4,17811
Sumter County,SC,57704,70.9,81359
Stephenson County,IL,25852,73.8,35034
Marshall County,SD,2480,66.1,3753
Yell County,AR,9862,61,16163
Perquimans County,NC,6676,60.9,10957
McDowell County,WV,9107,64.9,14027
Sussex County,VA,3965,41.9,9462
San German Municipio,PR,20712,83.3,24853
Calhoun County,IA,5598,73.6,7606
Mitchell County,KS,2988,64.7,4619
Elk County,KS,858,44,1950
Tyler County,TX,7689,43.9,17499
Tensas Parish,LA,2593,77.1,3363
Lajas Municipio,PR,15192,82.8,18342
Charlottesville city,VA,22447,56.5,39720
Beadle County,SD,8941,66.4,13460
Boone County,WV,9619,56.6,17009
Pottawattamie County,IA,49839,69.8,71371
Somerset County,NJ,228589,88.5,258178
Harrison County,MO,2835,44.8,6330
Green Lake County,WI,10108,68.4,14772
Iowa County,WI,14765,80.3,18396
Grand Forks County,ND,38903,71,54757
Brown County,KS,5375,75.2,7145
Clay County,KY,8642,55,15715
Bossier Parish,LA,60687,63.4,95685
Barrow County,GA,31420,50.8,61820
Mississippi County,MO,5597,53.6,10436
Collin County,TX,614399,79.8,769461
Nelson County,ND,1938,83.5,2322
Marion County,TN,12977,56.8,22831
Roanoke County,VA,43434,57.4,75668
Rawlins County,KS,1050,53.1,1979
Brown County,OH,17322,51.7,33493
Hart County,GA,9930,47.8,20783
Washington County,MO,7725,40.4,19131
Nash County,NC,54489,73.9,73765
Trigg County,KY,6780,58.7,11548
Rogers County,OK,41900,58.9,71089
Alleghany County,NC,6975,75.4,9249
Custer County,CO,2536,58,4371
Oglethorpe County,GA,6163,50.9,12099
Milwaukee County,WI,561121,77.9,720305
Russell County,KY,7942,57.3,13863
White County,GA,10863,43.9,24763
Mecklenburg County,VA,12774,51.3,24881
Norton County,KS,2797,64.2,4357
Carroll County,NH,32998,79.7,41415
Seneca County,NY,16839,61.8,27227
Adair County,KY,7292,47.4,15385
Eastland County,TX,6582,45.5,14477
Ashley County,AR,9359,61.3,15259
Davis County,IA,3171,49.9,6349
Perry County,KY,15152,76.3,19846
Monroe County,FL,57183,90.8,62977
Douglas County,NE,338100,79.4,425640
Le Sueur County,MN,12957,58.9,21982
Hamilton County,IN,213211,86,248016
Schuyler County,MO,1250,36.1,3461
Livingston County,KY,4441,60.6,7334
Monroe County,IN,82015,65.5,125233
Highlands County,FL,55011,62.3,88350
Ben Hill County,GA,6157,48.8,12605
Crawford County,IA,8585,68.1,12600
Wrangell City and Borough,AK,1365,67.9,2009
Windham County,CT,69556,74.2,93775
Rock Island County,IL,78995,71.6,110321
Marshall County,KY,16247,65.7,24726
Park County,CO,8666,54.1,16017
Las Piedras Municipio,PR,23591,78.3,30121
Bullock County,AL,5204,65.1,7995
Kent County,DE,95863,68.7,139553
Big Stone County,MN,2998,76.6,3913
Dunklin County,MO,10682,49.2,21717
Andrew County,MO,6705,49.1,13653
Georgetown County,SC,32987,64.1,51441
Montgomery County,MS,5152,67.8,7594
Lee County,NC,34697,73.6,47136
Washington County,ID,3980,50.5,7888
Crockett County,TX,1538,59.1,2604
Falls Church city,VA,7498,68.3,10976
Rock County,MN,4765,68.2,6990
Windsor County,VT,25746,56.9,45228
Washakie County,WY,3268,54.3,6021
Dodge County,WI,43476,61.5,70666
Winn Parish,LA,6546,59.3,11040
Luce County,MI,2723,52.1,5226
Berks County,PA,241205,73.6,327744
McCook County,SD,3058,75.8,4034
Camden County,NC,6625,78.8,8407
Gilliam County,OR,826,53.4,1547
Grant County,AR,8150,57.2,14245
Wayne County,IL,6212,49.4,12564
Deschutes County,OR,126904,80,158560
Treasure County,MT,340,61.9,549
Staunton city,VA,11092,55.2,20109
Clay County,IL,4959,48.6,10200
McNairy County,TN,12107,60.1,20152
Montgomery County,IA,5444,70.9,7681
Manassas Park city,VA,7045,52,13538
DeKalb County,TN,8345,51.9,16088
Wilson County,NC,42934,67.9,63224
Aguada Municipio,PR,25420,83.1,30580
Portage County,WI,40973,71.5,57314
Ashland County,WI,10334,85.2,12135
Fresno County,CA,541009,75.4,717248
St. Louis County,MN,123241,76.3,161450
Buncombe County,NC,178801,83.6,213777
Lancaster County,VA,6291,70.2,8963
Vieques Municipio,PR,5605,81.9,6844
Lafourche Parish,LA,41842,55.7,75129
Stevens County,WA,17270,47.9,36037
Wagoner County,OK,36806,59.5,61809
Venango County,PA,22781,55.6,40992
Union County,KY,5949,50.5,11777
Lane County,KS,633,52.8,1198
Roberts County,TX,258,39.3,656
Barry County,MO,15397,55.7,27651
Wyoming County,PA,15701,72.7,21596
Haskell County,OK,5115,52.9,9673
Edwards County,KS,1298,60.5,2145
Lee County,SC,7694,57,13501
Sequatchie County,TN,5096,42.7,11925
Carroll County,OH,11482,53.9,21293
Stafford County,VA,80167,70.8,113243
King George County,VA,10410,51.4,20246
Rio Arriba County,NM,27962,93.4,29944
Johnson County,GA,3328,42.5,7827
Aleutians West Census Area,AK,3352,67.1,4993
Haakon County,SD,804,55.2,1456
Macoupin County,IL,23162,65.3,35457
Bremer County,IA,13839,71.2,19439
Anson County,NC,11167,57,19608
Randall County,TX,60844,58.1,104801
Powell County,KY,6158,65.4,9410
Menard County,IL,6567,68.7,9565
Sibley County,MN,6788,59.3,11450
Orleans County,VT,14795,67.9,21804
Cimarron County,OK,725,45.6,1591
Grundy County,IA,7036,74.4,9460
Shasta County,CA,86403,61.2,141263
Newton County,IN,4456,40.3,11065
Decatur County,GA,12449,62.3,19996
Salinas Municipio,PR,18061,83.5,21630
Houston County,TX,9310,50.5,18428
Avery County,NC,9900,66.1,14969
Grant County,WV,5175,55.5,9324
Harrison County,OH,6335,53.1,11932
Rush County,IN,7596,59.2,12836
Benton County,MN,16123,52.9,30493
Wasco County,OR,16352,78.7,20789
Providence County,RI,416568,82,508057
Crook County,WY,2337,40.9,5711
Cass County,IN,16812,57.8,29067
West Feliciana Parish,LA,13319,95,13012
Taylor County,WV,7492,55.9,13397
Santa Isabel Municipio,PR,13561,79.9,16970
Nelson County,VA,8144,66.4,12267
Tama County,IA,9737,76,12809
Cass County,ND,102199,72.5,140954
Washington County,IA,11638,70.1,16597
Henry County,IA,10360,66.1,15666
Stark County,OH,190927,65.5,291682
Orocovis Municipio,PR,14797,91.1,16251
Wyandot County,OH,9957,59,16867
Hamilton County,TX,3970,60,6622
Angelina County,TX,38126,59,64658
Washington County,MN,160922,81,198767
Wythe County,VA,10814,47,23009
Perkins County,SD,916,40.3,2271
District of Columbia,DC,535197,92.7,577581
Carteret County,NC,46472,80.8,57537
Kenedy County,TX,182,59.9,304
Jeff Davis County,GA,4585,41,11177
Osage County,OK,15769,42.7,36910
DeKalb County,IL,53521,64.9,82430
Webster County,KY,5799,58.5,9921
Wabaunsee County,KS,3117,58.4,5339
Jackson County,WV,14254,63.3,22529
Creek County,OK,30460,55.6,54753
Nicholas County,WV,12386,63.7,19454
Gonzales County,TX,9708,63.6,15272
Wheatland County,MT,761,45.5,1673
Napa County,CA,96280,87.6,109947
Salt Lake County,UT,714327,83.9,851292
Snohomish County,WA,521523,81.7,637973
Phelps County,MO,18658,53,35235
Butler County,MO,14518,44.5,32589
Moniteau County,MO,5473,44.8,12224
Washington County,GA,8506,53.2,15977
Davidson County,TN,424698,77.1,551071
Plymouth County,MA,341037,83,410745
Charleston County,SC,252366,76.2,331391
Okanogan County,WA,26857,82.9,32410
Douglas County,SD,1578,73.1,2160
Macon County,NC,21279,72.7,29260
Ste. Genevieve County,MO,7819,55.9,13983
Colquitt County,GA,17465,51.5,33909
Will County,IL,411265,78.8,521916
Mills County,IA,7971,68.6,11613
Hopewell city,VA,6761,40.5,16678
Elbert County,CO,9489,45.1,21051
Levy County,FL,19085,57.1,33437
Clarion County,PA,16664,53.3,31247
Citrus County,FL,83820,65.7,127662
San Miguel County,NM,17064,75.8,22517
St. Mary's County,MD,68521,79.3,86428
Washington Parish,LA,18679,53.1,35181
Holmes County,FL,5740,36.7,15624
Bell County,TX,203057,77.2,262932
York County,SC,130421,61.1,213463
DeKalb County,IN,17800,53.9,33023
Fayette County,IN,9288,51.3,18107
Barnwell County,SC,11042,69.3,15929
Comal County,TX,90716,74.9,121086
Lake County,CO,4546,69.7,6521
Aitkin County,MN,9084,68.5,13268
Grant County,KS,3096,61.7,5017
Greensville County,VA,4225,44.6,9475
Broome County,NY,113041,73.6,153683
Monroe County,MS,17220,63,27316
Newport News city,VA,87615,63.6,137743
Harrisonburg city,VA,19037,43.1,44217
