Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Brooks County,TX,4156,80.8,5143
Cherokee County,IA,5821,66.1,8806
Colleton County,SC,17581,60.2,29218
Bienville Parish,LA,6516,63.3,10299
Garfield County,UT,2759,70.9,3890
Nueces County,TX,188278,68.7,274235
Miami County,IN,14275,51,28001
Faulkner County,AR,59480,61.1,97276
Caldwell County,NC,39019,59.3,65842
Rockbridge County,VA,9984,53.4,18703
Washington County,UT,87259,66,132175
Hays County,TX,130286,73.4,177577
Gilpin County,CO,3449,64.7,5333
Calhoun County,FL,4796,42.5,11296
Van Buren County,AR,6901,51.8,13327
Pendleton County,KY,6130,54.4,11264
Lehigh County,PA,251465,87.9,286192
Humboldt County,CA,82231,74.8,109924
Humboldt County,NV,6782,55.1,12311
Upshur County,TX,13562,42.6,31821
Scott County,VA,11924,67.3,17723
Elmore County,AL,36763,58.3,63080
Lafayette County,AR,2770,51.3,5401
Lenoir County,NC,30978,71.3,43423
Dubuque County,IA,57816,76.9,75191
Dodge County,MN,11149,71.6,15575
Garland County,AR,43772,55,79575
Jefferson County,IA,8518,55.1,15472
Morgan County,OH,6039,52.4,11521
Forsyth County,GA,116539,65.3,178574
Giles County,TN,11468,49.2,23330
Terrell County,GA,4685,71.3,6568
Dallas County,AL,16283,57.1,28521
McCulloch County,TX,2955,47.5,6217
Coahoma County,MS,10633,65.8,16155
New Hanover County,NC,150897,78.7,191812
Warren County,GA,2439,58.1,4196
Talladega County,AL,28618,45.2,63273
Hudspeth County,TX,2838,73.4,3869
Lincoln County,TN,13916,52.1,26719
Clark County,KY,18658,66.1,28215
Elkhart County,IN,83642,55.8,149899
Chase County,KS,1189,55.9,2126
Wayne County,IA,2644,54.7,4836
Somerset County,PA,35772,59.2,60412
Bacon County,GA,3388,40.7,8331
Ottawa County,OH,23895,72,33194
Dooly County,GA,4793,42.8,11188
Harmon County,OK,1254,63,1990
Summit County,UT,33448,95,32042
Kemper County,MS,4267,53.5,7979
Reagan County,TX,1393,51,2734
Tillman County,OK,3524,63.2,5574
Hanson County,SD,1486,61.7,2410
San Luis Obispo County,CA,159211,68.2,233612
Yazoo County,MS,13744,58.4,23542
Hardin County,TX,20698,47.5,43549
Hamilton County,FL,4875,41.7,11684
New London County,CT,195172,91.1,214254
Shawano County,WI,20620,64.1,32167
Reynolds County,MO,1703,34,5012
Warren County,IA,27881,71.9,38790
Dona Ana County,NM,149910,90.7,165267
Murray County,GA,14311,47.2,30292
Stone County,AR,4621,45.7,10119
Tuolumne County,CA,26995,59.6,45325
Greer County,OK,2055,44.9,4579
St. Croix County,WI,42351,61.8,68499
Piscataquis County,ME,10032,71.8,13973
Monroe County,KY,4773,58,8234
Guadalupe County,NM,2708,79.2,3421
Warren County,MS,24328,70.2,34677
Winona County,MN,30684,73.9,41513
Miami County,OH,48718,59.1,82435
Whatcom County,WA,153183,82.7,185293
Walsh County,ND,5838,71.2,8197
Broomfield County,CO,50091,91.3,54894
Power County,ID,3576,67.1,5333
Mineral County,MT,2323,64.6,3597
Castro County,TX,2981,55.5,5371
Live Oak County,TX,5082,51.9,9786
Lincoln County,AR,4443,40.7,10905
Palo Alto County,IA,4362,63.9,6823
Maricao Municipio,PR,3298,73.8,4468
Daviess County,KY,51137,66.5,76860
Woods County,OK,3611,51.6,6992
Cumberland County,VA,3513,43.6,8051
Cooke County,TX,15054,47.8,31512
Susquehanna County,PA,19104,58.1,32891
Ozaukee County,WI,57876,82.4,70271
Coos County,OR,35740,67.8,52705
Brule County,SD,2976,75.7,3932
Fulton County,PA,5222,44.8,11655
Santa Rosa County,FL,94486,65.6,144119
Westchester County,NY,718514,94.9,757224
Clinton County,OH,19752,60.9,32414
Noble County,IN,17847,49.4,36138
Johnson County,TX,75488,58,130222
Houston County,TN,3477,53.7,6469
Douglas County,WI,19547,56.3,34706
Callahan County,TX,5530,50.8,10890
Jackson County,IN,22348,66.9,33426
Emanuel County,GA,8902,52.3,17032
Carroll County,VA,9689,39.6,24490
Bethel Census Area,AK,9679,81.7,11848
Mille Lacs County,MN,14347,71.6,20051
Essex County,VA,4838,54.1,8935
Upson County,GA,11582,56.8,20374
Cherokee County,KS,8921,58,15393
Norfolk County,MA,505195,90.2,560181
Merrimack County,NH,97232,79.2,122788
Allen County,IN,187209,66.3,282345
Johnston County,NC,106433,68,156585
Smith County,TX,100694,57.2,175982
Chaffee County,CO,12437,72,17285
Howard County,MO,4182,53.5,7816
Hawkins County,TN,24718,54.1,45701
Fleming County,KY,7104,64.4,11025
Winston County,AL,5145,27.3,18864
Ottawa County,KS,2518,56.5,4456
Lee County,IA,16809,63.4,26512
Calhoun County,TX,10272,63.4,16194
San Juan County,WA,13645,88.9,15353
Person County,NC,22452,71.6,31361
Knox County,TX,1395,51.5,2709
Walworth County,WI,53415,64.5,82832
Butler County,KS,30445,61,49932
Manati Municipio,PR,27212,89.4,30445
Arecibo Municipio,PR,60785,89.9,67637
Franklin County,MO,53329,66.3,80409
Wayne County,WV,20596,65.5,31468
Eddy County,ND,1138,65,1751
Carroll County,TN,13415,61.5,21798
Hall County,GA,86791,56.5,153638
Steuben County,NY,54170,72.1,75107
Jefferson Davis County,MS,4773,53.5,8919
Thomas County,KS,3116,52.4,5952
Tangipahoa Parish,LA,59879,58.7,101940
Pulaski County,IN,5411,56.3,9616
Garfield County,WA,836,47.6,1758
Duval County,TX,6380,76.9,8298
Rockcastle County,KY,6482,49.3,13155
Hill County,MT,10039,84.4,11891
Mercer County,PA,57647,65.2,88425
Haskell County,TX,2135,45.4,4702
Scurry County,TX,7199,57.3,12560
Cattaraugus County,NY,39836,67,59481
Blackford County,IN,5539,60,9231
Rockingham County,NH,190502,76,250662
Fairfax city,VA,15083,83.3,18113
Sutter County,CA,54094,75.1,71995
Wheeler County,GA,1986,30.4,6524
Wichita County,KS,1003,64.2,1562
Fayette County,GA,68087,77.3,88100
Winston County,MS,8364,60,13935
Cecil County,MD,57327,71.9,79749
Caldwell County,KY,6457,65.3,9890
Rockland County,NY,193644,83,233221
Dickinson County,IA,9945,71.2,13976
Tioga County,NY,27740,72.5,38260
Spink County,SD,3226,65.7,4909
Monroe County,OH,6470,59.2,10931
Boulder County,CO,231571,87.4,264962
Comerio Municipio,PR,11869,78.5,15112
Corson County,SD,1758,67.8,2592
Lynchburg city,VA,24042,36.3,66239
Weber County,UT,141897,75.6,187766
Jackson County,OK,12749,69.2,18432
Edmonson County,KY,4002,40.1,9988
Yolo County,CA,139229,79.7,174725
Contra Costa County,CA,819984,91.6,894879
Midland County,TX,70682,56,126328
Isabela Municipio,PR,27307,81.6,33471
Sanders County,MT,4677,46.8,10004
Baylor County,TX,1403,51.8,2707
Canovanas Municipio,PR,30996,85.8,36116
Morrow County,OH,14237,52,27374
Hardeman County,TX,1719,55.7,3087
Wadena County,MN,6519,64.3,10142
Fairfield County,CT,697034,95,733666
Wilkes County,GA,4612,59.6,7735
Scott County,MN,89812,82.7,108655
Elko County,NV,21386,55.7,38402
Ross County,OH,37529,62.1,60438
Harlan County,KY,11667,58.2,20033
Cochran County,TX,1039,49.8,2088
Lea County,NM,28388,56.9,49929
Lawrence County,AR,7413,58,12772
Mower County,MN,22463,74.8,30015
Coamo Municipio,PR,24042,77,31236
Burke County,GA,11976,72,16641
Jefferson County,TN,26369,59.9,44051
Appomattox County,VA,5027,40,12569
Sabine County,TX,3825,44.3,8636
Marshall County,TN,14314,54.1,26435
Webster County,GA,1101,51.8,2124
Santa Cruz County,CA,191711,86.6,221314
Suwannee County,FL,16637,47.4,35076
Cleveland County,NC,48657,63.6,76504
Del Norte County,CA,11481,52.2,21990
Grenada County,MS,10411,65.7,15845
Kodiak Island Borough,AK,7573,77.6,9757
Webster County,MS,4561,61.6,7410
Hyde County,NC,3163,77.2,4098
Lowndes County,AL,4798,63.2,7587
Stanton County,KS,942,65.1,1446
Terry County,TX,4848,54,8979
Trempealeau County,WI,18006,81.1,22212
Texas County,MO,8156,40.8,19996
Bernalillo County,NM,440948,82.6,534057
White County,IN,12777,69.1,18501
Sheridan County,KS,883,46.4,1905
Taylor County,TX,64815,62.5,103784
Sullivan County,PA,3286,60.5,5428
